shelter_id,name,address,phone,capacity,type,latitude,longitude
1,光復鄉社區活動中心,花蓮縣光復鄉中正路100號,03-8701234,200,避難所,23.654321,121.456789
2,富里鄉避難所,花蓮縣富里鄉中山路50號,03-8831111,150,避難所,23.175432,121.256789
3,玉里鎮臨時避難所,花蓮縣玉里鎮民權路200號,03-8882171,180,避難所,23.332109,121.312345
4,壽豐鄉臨時醫療站,花蓮縣壽豐鄉和平路80號,03-8561825,50,醫療站,23.876543,121.567890
5,光復鄉馬太鞍部落避難所,花蓮縣光復鄉馬太鞍部落,03-8701234,100,避難所,23.654321,121.456789
6,瑞穗鄉紅葉村活動中心,花蓮縣瑞穗鄉紅葉村,03-8871234,80,避難所,23.498765,121.378901
7,玉里鎮臨時醫療站,花蓮縣玉里鎮中正路150號,03-8886141,40,醫療站,23.332109,121.312345
8,光復鄉臨時安置區,花蓮縣光復鄉建國路300號,03-8701234,120,安置區,23.654321,121.456789
9,卓溪鄉臨時供電站,花蓮縣卓溪鄉,03-8882345,20,供電站,23.312345,121.234567
10,鳳林鎮衛生所,花蓮縣鳳林鎮中正路120號,03-8762121,30,醫療站,23.745678,121.445678
11,光復國小臨時避難所,花蓮縣光復鄉中正路200號,03-8701234,150,避難所,23.654321,121.456789
12,富里鄉公所,花蓮縣富里鄉中山路1號,03-8831111,100,避難所,23.175432,121.256789
13,玉里鎮公所,花蓮縣玉里鎮民權路1號,03-8882171,120,避難所,23.332109,121.312345
14,光復鄉服務站,花蓮縣光復鄉建國路500號,03-8701234,50,服務站,23.654321,121.456789
15,花蓮縣各避難所,花蓮縣各鄉鎮,03-8227171,500,避難所,23.654321,121.456789
16,光復鄉第二避難所,花蓮縣光復鄉建國路600號,03-8701234,150,避難所,23.654321,121.456789
17,富里鄉第二避難所,花蓮縣富里鄉中山路200號,03-8831111,120,避難所,23.175432,121.256789
18,玉里鎮第二避難所,花蓮縣玉里鎮民權路300號,03-8882171,140,避難所,23.332109,121.312345
19,壽豐鄉第二醫療站,花蓮縣壽豐鄉和平路150號,03-8561825,40,醫療站,23.876543,121.567890
20,瑞穗鄉避難所,花蓮縣瑞穗鄉中正路100號,03-8871234,100,避難所,23.498765,121.378901
21,光復鄉第三避難所,花蓮縣光復鄉中正路300號,03-8701234,130,避難所,23.654321,121.456789
22,富里鄉第三避難所,花蓮縣富里鄉建國路100號,03-8831111,110,避難所,23.175432,121.256789
23,玉里鎮第三避難所,花蓮縣玉里鎮中山路200號,03-8882171,125,避難所,23.332109,121.312345
24,壽豐鄉第三醫療站,花蓮縣壽豐鄉中正路100號,03-8561825,35,醫療站,23.876543,121.567890
25,瑞穗鄉第二避難所,花蓮縣瑞穗鄉和平路200號,03-8871234,90,避難所,23.498765,121.378901
26,光復鄉物資倉庫,花蓮縣光復鄉建國路700號,03-8701234,50,倉庫,23.654321,121.456789
27,富里鄉物資倉庫,花蓮縣富里鄉中山路300號,03-8831111,40,倉庫,23.175432,121.256789
28,玉里鎮物資倉庫,花蓮縣玉里鎮民權路400號,03-8882171,45,倉庫,23.332109,121.312345
29,壽豐鄉物資倉庫,花蓮縣壽豐鄉和平路250號,03-8561825,35,倉庫,23.876543,121.567890
30,瑞穗鄉物資倉庫,花蓮縣瑞穗鄉中正路200號,03-8871234,30,倉庫,23.498765,121.378901

