request_id,requester_id,incident_id,status,request_date,urgency,type,address,latitude,longitude,reviewed_at,reviewer_id,review_status,review_note
1,15,1,Pending,2024-10-07 10:00:00,5,Item,花蓮縣光復鄉馬太鞍部落,23.654321,121.456789,2024-10-07 12:00:00,4,Verified,需求確認，已發布
2,9,2,Pending,2024-10-07 11:00:00,5,Item,花蓮縣光復鄉馬錫山,23.655432,121.457890,2024-10-07 13:00:00,4,Verified,緊急需求，優先處理
3,9,3,Pending,2024-10-07 12:00:00,4,Rescue,花蓮縣光復鄉馬太鞍溪周邊,23.654321,121.456789,2024-10-07 14:00:00,4,Verified,人力需求，已發布
4,10,4,Fulfilled,2024-10-07 13:00:00,4,Item,花蓮縣壽豐鄉臨時醫療站,23.876543,121.567890,2024-10-07 15:00:00,4,Verified,物資已到位
5,10,5,Pending,2024-10-08 09:00:00,4,Rescue,花蓮縣壽豐鄉臨時醫療站,23.876543,121.567890,2024-10-08 11:00:00,4,Verified,醫療人力需求
6,15,1,Pending,2024-10-08 10:00:00,3,Item,花蓮縣光復鄉避難所,23.654321,121.456789,2024-10-08 12:00:00,4,Verified,衣物需求已滿足
7,11,6,Pending,2024-10-08 11:00:00,5,Rescue,花蓮縣光復鄉馬太鞍溪堰塞湖,23.654321,121.456789,2024-10-08 13:00:00,4,Verified,緊急設備需求
8,15,1,Pending,2024-10-08 12:00:00,3,Item,花蓮縣光復鄉避難所,23.654321,121.456789,2024-10-08 14:00:00,4,Verified,嬰兒用品需求
9,14,9,Pending,2024-10-08 13:00:00,3,Rescue,花蓮縣各避難所,23.654321,121.456789,2024-10-08 15:00:00,4,Verified,心理諮商服務需求
10,12,10,Pending,2024-10-08 14:00:00,5,Item,花蓮縣光復鄉臨時安置區,23.654321,121.456789,2024-10-08 16:00:00,4,Verified,燃料緊急需求
11,9,11,Pending,2024-10-08 15:00:00,4,Rescue,花蓮市區至光復鄉,23.654321,121.456789,2024-10-08 17:00:00,4,Verified,運輸車輛需求
12,29,12,Pending,2024-10-08 16:00:00,3,Item,花蓮縣光復鄉臨時安置區,23.654321,121.456789,2024-10-08 18:00:00,4,Verified,帳篷需求
13,28,13,Fulfilled,2024-10-09 09:00:00,3,Item,花蓮縣光復鄉主要道路,23.654321,121.456789,2024-10-09 11:00:00,4,Verified,照明設備已到位
14,28,14,Pending,2024-10-09 10:00:00,4,Item,花蓮縣光復鄉社區活動中心,23.654321,121.456789,2024-10-09 12:00:00,4,Verified,淨水設備需求
15,27,15,Pending,2024-10-09 11:00:00,4,Rescue,花蓮縣光復鄉受災建築,23.654321,121.456789,,,Unverified,尚無專家認領
16,16,13,Pending,2024-10-09 12:00:00,3,Item,花蓮縣富里鄉避難所,23.175432,121.256789,2024-10-09 14:00:00,4,Verified,食物需求
17,17,17,Pending,2024-10-09 13:00:00,4,Item,花蓮縣玉里鎮,23.332109,121.312345,2024-10-09 15:00:00,4,Verified,儲水設備需求
18,18,7,Pending,2024-10-09 14:00:00,3,Rescue,花蓮縣瑞穗鄉紅葉村,23.498765,121.378901,2024-10-09 16:00:00,4,Verified,志工需求
19,19,19,Fulfilled,2024-10-09 15:00:00,3,Item,花蓮縣鳳林鎮衛生所,23.745678,121.445678,2024-10-09 17:00:00,4,Verified,藥品已補給完成
20,20,11,Pending,2024-10-09 16:00:00,4,Rescue,花蓮縣玉里鎮臨時醫療站,23.332109,121.312345,2024-10-09 18:00:00,4,Verified,醫師支援需求
21,21,21,Pending,2024-10-09 17:00:00,3,Item,花蓮縣光復鄉避難所,23.654321,121.456789,2024-10-09 19:00:00,4,Verified,兒童衣物需求
22,22,22,Fulfilled,2024-10-09 18:00:00,3,Rescue,花蓮縣卓溪鄉臨時供電站,23.312345,121.234567,2024-10-09 20:00:00,4,Verified,發電機操作員已到位
23,15,23,Pending,2024-10-10 09:00:00,3,Item,花蓮縣光復鄉避難所,23.654321,121.456789,2024-10-10 11:00:00,4,Verified,清潔用品需求
24,23,24,Pending,2024-10-10 10:00:00,3,Rescue,花蓮縣各避難所,23.654321,121.456789,2024-10-10 12:00:00,4,Verified,翻譯志工需求
25,16,25,Fulfilled,2024-10-10 11:00:00,3,Item,花蓮縣富里鄉避難所,23.175432,121.256789,2024-10-10 13:00:00,4,Verified,棉被已收集完成
26,24,26,Pending,2024-10-10 12:00:00,3,Item,花蓮縣光復鄉避難所,23.654321,121.456789,2024-10-10 14:00:00,4,Verified,營養品需求
27,13,27,Pending,2024-10-10 13:00:00,4,Rescue,花蓮縣光復鄉山區,23.654321,121.456789,,,Unverified,無人機操作員需求
28,29,28,Pending,2024-10-10 14:00:00,3,Item,花蓮縣各避難所,23.654321,121.456789,2024-10-10 16:00:00,4,Verified,行動電源需求
